sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
51585,164,312272,62,4246,6135,532403,4246
51586,164,357849,41,3582,5064,543356,3582
51587,164,403446,9,3225,4328,528420,3225
51588,164,336383,31,4529,5098,534279,4529
51589,164,320611,293,4441,5111,534526,4441
51590,164,266136,234,4979,4751,518185,4979
51591,164,289641,40,2093,3870,543751,2093
51592,164,316405,33,2502,5374,543271,2502
51593,165,207948,24,1053,3367,547423,1053
51594,164,357678,28,3420,6785,543295,3420
51595,165,354113,9,2699,5863,543364,2699
51596,164,376724,24,3226,5729,534620,3226
51597,187,391518,12,2435,5308,579925,2435
51598,164,383305,24,3118,6239,543389,3118
51599,176,362832,6,3490,4677,543321,3490
51600,164,235556,1,966,2598,543060,966
51601,164,390172,12,3947,5337,543353,3947
51602,164,386663,46,2714,6293,543518,2714
51603,164,343240,25,1707,4960,533779,1707
51604,164,276274,13,1120,4148,543247,1120
51605,164,319645,5,2492,4299,535364,2492
51606,169,346737,22,3005,6729,546216,3005
51607,164,394210,44,3087,6984,544236,3087
51608,165,416931,32,1392,7473,543598,1392
51609,164,353933,159,2990,7495,543827,2990
51610,164,397450,74,3985,5131,543660,3985
51611,164,366931,4,1592,5551,526804,1592
51612,164,354103,14,4232,5746,530067,4232
51613,164,372092,71,3127,5817,536869,3127
51614,164,376968,107,3448,5578,543519,3448
51615,164,356793,102,3686,4769,543567,3686
51616,173,233128,80,1239,3022,571817,1239
51617,164,300038,25,899,2735,543286,899
51618,164,378814,150,3869,5485,543371,3869
51619,164,339027,296,4548,5504,543511,4548
51620,165,347050,55,4604,6563,543283,4604
51621,164,301489,37,4043,5947,524255,4043
51622,164,367604,46,3943,5932,543338,3943
51623,164,415430,32,3234,5286,534802,3234
51624,165,347627,40,3876,5620,543462,3876
51625,164,340748,11,3601,5773,543343,3601
51626,164,291943,93,5115,5487,514456,5115
51627,165,296194,41,4091,5738,543766,4091
51628,164,254978,19,2620,4662,543778,2620
51629,164,250313,18,2684,4792,544568,2684
51630,177,279725,27,3301,5031,543652,3301
51631,164,273973,12,3011,4317,516846,3011
51632,164,314535,7,3603,5524,543370,3603
51633,165,357713,18,3584,7257,543578,3584
51634,164,329973,18,3647,5569,543543,3647
51635,174,297035,27,3871,5112,568174,3871
51636,176,334251,61,4486,5897,585969,4486
51637,164,232309,24,1907,2881,543352,1907
51638,164,294411,399,4909,5616,527642,4909
51639,164,399578,119,2910,5887,543324,2910
51640,164,471738,47,2597,4108,543370,2597
51641,165,347773,46,3248,6559,543634,3248
51642,164,378167,20,3041,5207,534183,3041
51643,164,434411,19,2248,4651,543328,2248
51644,164,392502,77,3403,5797,543499,3403
51645,164,448246,15,2652,4361,543421,2652
51646,163,538692,8,643,3989,543170,643
51647,164,474410,31,2954,4346,543353,2954
51648,164,355917,27,3483,6599,543278,3483
51649,165,365199,26,3282,4398,519732,3282
51650,164,423667,15,3102,4537,543456,3102
51651,164,370575,15,3200,5268,535879,3200
51652,164,412014,17,2878,5162,543328,2878
