sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
262,1061,673665,138,138
263,1061,675373,141,141
264,1060,674968,138,138
265,1061,674972,138,138
266,1061,674302,138,138
267,1061,675207,138,138
268,1061,675194,141,138
269,1062,674611,138,138
270,1060,675114,138,138
271,1078,685971,141,141
272,1062,675205,138,138
273,1061,674578,138,138
274,1061,675072,138,138
275,1061,673487,138,147
276,1061,674933,138,138
277,1060,673945,138,138
278,1062,675213,138,138
279,1060,675026,139,138
280,1061,670489,138,153
281,1061,673456,138,140
282,1061,675094,138,138
283,1061,674989,138,138
284,1057,670115,138,141
285,1060,675079,138,138
286,1061,675256,138,138
287,1061,674957,138,138
288,1061,674268,138,138
289,1060,675040,138,138
290,1061,674963,138,138
291,1062,673457,138,145
292,1061,673970,140,138
293,1061,675038,138,138
294,1060,674994,138,138
295,1061,674941,138,138
296,1061,674153,138,138
297,1061,675203,141,138
298,1061,675110,138,138
299,1060,675022,138,138
300,1062,674311,138,138
301,1060,675275,138,138
302,1061,673804,138,143
303,1061,674044,138,138
304,1061,675016,138,138
305,1061,674987,138,138
306,1061,675219,138,138
307,1061,672001,135,145
308,1061,675094,138,138
309,1061,674978,138,138
310,1060,674968,138,138
311,1062,674226,138,138
312,1060,675373,141,141
313,1061,674958,138,138
314,1061,674965,138,138
315,1060,674323,138,138
316,1062,675155,138,138
317,1062,676502,141,138
318,1062,674124,138,138
319,1060,675061,138,138
320,1062,675155,138,138
321,1060,675277,141,141
322,1061,672035,138,146
323,1061,675035,138,138
324,1061,674971,138,138
325,1061,674958,138,138
326,1061,674723,139,139
327,1061,675069,138,138
328,1060,675015,138,138
329,1061,675022,138,138
330,1062,674008,138,138
331,1060,675370,141,141
332,1061,675026,138,138
333,1061,675056,138,138
334,1061,674260,138,138
335,1061,675196,138,138
336,1061,675043,140,138
337,1060,674238,138,138
338,1061,673438,138,146
339,1061,674920,138,138
340,1061,675102,138,138
341,1061,673979,141,142
342,1061,675049,138,138
343,1061,675032,138,138
344,1060,675007,138,138
345,1062,674506,138,138
346,1061,675372,141,140
347,1060,674999,138,138
348,1061,674985,138,138
349,1061,674313,138,138
350,1061,675377,138,138
351,1061,675058,138,138
352,1061,674160,138,138
353,1060,675004,138,138
354,1062,673616,138,144
355,1060,675172,138,138
356,1061,673941,138,138
357,1061,675006,138,139
358,1061,674994,138,138
359,1061,674975,138,138
360,1062,675531,141,141
361,1061,675267,138,138
362,1061,675007,138,138
363,1061,675058,138,138
364,1061,673670,138,138
365,1061,675355,141,141
366,1061,675054,138,138
367,1061,674243,138,138
368,1061,675083,138,138
369,1061,673253,137,149
370,1061,675288,141,141
371,1061,672896,138,142
372,1061,675090,138,138
373,1061,674980,138,138
374,1061,675064,138,138
375,1061,674280,138,139
376,1061,675044,138,138
377,1061,675022,138,138
378,1060,675001,138,138
379,1062,674428,138,138
380,1060,675367,141,141
381,1061,674994,138,138
382,1061,675077,138,138
383,1061,668238,138,139
384,1061,675050,138,138
385,1061,669956,138,164
386,1061,673236,138,140
387,1060,675115,138,138
388,1062,675209,138,138
389,1060,675034,138,138
390,1061,674278,138,138
391,1061,675058,138,138
392,1061,675021,138,138
393,1061,675379,141,141
394,1060,674291,138,138
395,1061,675014,138,138
396,1061,675130,138,138
397,1061,675156,138,138
398,1061,674351,141,141
399,1061,675062,138,138
400,1061,674199,138,143
401,1061,674110,138,139
402,1061,675143,138,138
403,1061,675347,141,141
404,1061,674989,138,138
405,1061,674283,138,138
406,1060,675072,138,139
407,1062,675292,138,138
408,1060,675015,138,138
409,1061,674076,138,138
410,1061,675081,138,138
411,1061,675052,138,138
412,1061,675381,141,141
413,1061,674284,138,138
414,1061,674992,138,138
415,1060,674970,138,138
416,1020,648153,135,135
417,1061,675049,138,138
418,1060,675056,138,138
419,1061,675014,138,138
420,1062,674244,138,138
421,1060,675414,141,141
422,1061,674989,138,138
423,1061,675056,138,138
424,1061,674308,138,138
425,1063,675246,138,138
426,1061,675137,138,138
427,1060,675033,138,138
428,1061,674364,138,138
429,1061,675197,138,138
430,1061,675122,141,138
431,1061,674984,138,138
432,1061,674198,138,138
433,1061,675022,138,138
434,1061,675349,138,138
435,1060,674265,138,138
436,1061,675068,138,138
437,1061,675092,138,138
438,1061,675126,138,138
439,1061,674635,141,141
440,1061,675106,138,138
441,1061,675035,138,138
442,1060,675045,138,138
443,1062,674298,138,138
444,1061,675234,141,140
445,1060,675063,138,138
446,1061,675008,138,138
447,1061,674306,138,138
448,1061,675366,139,139
449,1061,675029,138,138
450,1061,674325,138,138
451,1061,675087,138,138
452,1061,675098,138,138
453,1061,675394,141,141
454,1061,674151,138,138
455,1060,675013,138,138
456,1061,674968,138,138
457,1061,675215,138,138
458,1061,674335,138,138
459,1061,675083,138,138
460,1060,675028,138,138
461,1061,674988,138,138
462,1062,674802,139,139
463,1060,675127,138,138
464,1061,674991,138,138
465,1061,675016,138,138
466,1061,674083,138,138
467,1061,675324,141,141
468,1060,674974,138,138
469,1061,674308,138,138
470,1061,675033,138,138
471,1061,675139,138,138
472,1061,675136,141,138
473,1061,674303,138,138
474,1060,674976,138,138
475,1061,674983,138,138
476,1061,675309,139,139
477,1061,674096,138,138
478,1060,674989,138,138
479,1061,674970,138,138
480,1061,675010,138,138
481,1061,674692,141,141
482,1061,675118,138,138
483,1061,675019,138,138
484,1060,673700,138,138
485,1062,675128,138,138
486,1060,675341,141,141
487,1061,675044,138,138
488,1061,674058,138,138
489,1061,675015,138,138
490,1061,675193,138,138
491,1061,675150,141,138
492,1061,674337,138,138
493,1060,675063,138,138
494,1061,675017,138,138
495,1061,675365,141,141
496,1061,674278,138,138
497,1061,675057,138,138
498,1061,675053,138,138
499,1061,674135,138,138
500,1061,675442,141,141
501,1061,674990,138,138
502,1060,675057,138,138
503,1061,674275,138,138
504,1061,675259,138,138
505,1061,675127,141,138
506,1061,675001,138,138
507,1061,674216,138,138
