sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,
269,1060,3577540,0,235,
270,1059,3582596,0,227,
271,1060,3568097,0,284,
272,1059,3579294,0,256,
273,1060,3580739,0,216,
274,1061,3587613,0,636,
275,1060,3564201,0,378,
276,1060,3576764,2,284,
277,1059,3582777,0,232,
278,1060,3580386,0,234,
279,1060,3566837,0,272,
280,1059,3581126,0,280,
281,1060,3581080,0,206,
282,1060,3569197,0,265,
283,1059,3576812,0,247,
284,1060,3577645,1,219,
285,1060,3576700,1,230,
286,1065,3920398,5,1948,
287,1067,4311884,17,5190,
288,1064,3894304,3,4611,
289,1060,3571944,2,445,
290,1061,3591154,1,535,
291,1060,3572495,0,349,
292,1062,3579282,0,291,
293,1061,3584560,0,790,
294,1060,3578551,2,398,
295,1060,3595922,0,331,
296,1059,3599078,0,247,
297,1063,3620207,0,862,
298,1063,3649431,7,1761,
299,1060,3585683,1,399,
300,1060,3583187,0,313,
301,1061,3565025,0,394,
302,1059,3586713,0,308,
303,1060,3585843,3,264,
304,1060,3591783,0,246,
305,1067,4076936,5,933,
306,1063,7421725,2,144,
307,1066,7150705,3,761,
308,1064,7420566,4,154,
309,1064,7380129,0,199,
310,1063,7411160,1,155,
311,1065,7268235,3,603,
312,1067,7418387,0,148,
313,1064,7418509,0,257,
314,1063,7413950,0,120,
315,1063,7381141,1,128,
316,1064,7372121,4,187,
317,1063,7394199,1,136,
318,1063,7380076,1,183,
319,1063,7413337,0,138,
320,1063,7385736,0,168,
321,1064,7391805,0,148,
322,1096,7457064,2,618,
323,1064,7404816,2,229,
324,1064,7383543,1,226,
325,1063,7423513,3,179,
326,1063,7428635,4,180,
327,1064,7413842,0,145,
328,1063,7422092,0,147,
329,1065,7298726,0,560,
330,1063,7420047,0,147,
331,1064,7396600,0,216,
332,1063,7443739,3,158,
333,1063,7492771,8,144,
334,1063,7485862,0,100,
335,1064,7443397,0,169,
336,1062,7463381,4,147,
337,1064,7428218,0,247,
338,1064,6791151,238,708,
339,1062,2303536,152,286,
340,1064,1882235,74,290,
341,1067,6271313,25,1107,
342,1063,7224226,0,174,
343,1063,7207209,0,169,
344,1063,7226292,0,153,
345,1063,7248577,0,134,
346,1064,7240796,0,256,
347,1063,7287244,0,122,
348,1064,7158504,0,567,
349,1063,7285952,0,170,
350,1064,7227349,0,206,
351,1062,7274599,0,122,
352,1063,7291242,0,121,
353,1063,7307127,0,148,
354,1063,7304799,0,210,
355,1063,7353353,0,132,
356,1063,7340796,0,124,
357,1063,7329848,0,143,
358,1064,7289653,0,256,
359,1063,7345007,0,134,
360,1063,7368410,0,110,
361,1063,7338150,0,198,
362,1063,7334649,0,154,
363,1063,7348765,0,152,
364,1063,7356091,0,131,
365,1063,7311710,0,192,
366,1063,7358645,0,123,
367,1064,7231649,0,561,
368,1063,7339344,0,129,
369,1064,7302703,0,244,
370,1063,7356980,0,135,
371,1063,7347350,0,106,
372,1063,7361629,1,183,
373,1063,7351385,0,153,
374,1063,7377286,0,144,
375,1063,7373532,0,123,
376,1063,7320115,0,169,
377,1064,7313553,0,196,
378,1063,7339947,0,129,
379,1062,7344132,0,155,
380,1064,7305622,0,225,
381,1063,7331609,0,162,
382,1063,7342151,0,126,
383,1063,7298857,0,147,
384,1063,7302935,0,174,
385,1062,7327671,0,165,
386,1064,7219757,0,493,
387,1063,7374957,0,217,
388,1064,7317007,0,308,
389,1064,7320811,0,136,
390,1063,7356384,0,120,
391,1063,7352160,0,206,
392,1063,7373648,0,142,
393,1063,7356929,0,166,
394,1062,7365910,0,135,
395,1064,7337512,0,346,
396,1063,7401333,0,161,
397,1063,7418878,0,115,
398,1063,7419085,0,143,
399,1063,7418820,0,222,
400,1064,7427505,0,163,
401,1067,7428511,0,140,
402,1063,7413829,0,179,
403,1064,7379192,0,215,
404,1065,7297554,0,541,
405,1063,7392400,0,159,
406,1063,7400692,0,146,
407,1064,7386342,0,243,
408,1063,7404659,0,114,
409,1063,7403215,0,188,
410,1064,7377464,0,199,
411,1063,7376627,0,185,
412,1063,7387122,0,147,
413,1062,7403760,0,115,
414,1064,7381975,0,203,
415,1063,7412739,0,124,
416,1063,7378466,0,253,
417,1063,7430907,0,171,
418,1064,7402816,0,180,
419,1062,7437953,0,146,
420,1063,7421992,0,135,
421,1063,7408898,0,131,
422,1045,7155193,1,498,
423,1064,7453083,0,240,
424,1063,7483439,0,172,
425,1064,7483735,0,173,
426,1063,7505437,0,128,
427,1063,7504986,0,147,
428,1063,7499848,0,158,
429,1064,5104265,13,375,
430,1062,2299183,0,161,
431,1065,2807217,3,1101,
432,1063,7259190,0,165,
433,1065,7138556,0,557,
434,1063,7260005,0,172,
435,1067,6172380,3,2975,
436,1065,7278556,0,144,
437,1064,7224168,0,246,
438,1063,7305854,0,139,
439,1063,7306133,0,161,
440,1065,7157765,0,640,
441,1063,7282429,0,144,
442,1064,7307828,0,143,
443,1063,7314708,1,119,
444,1064,7295887,1,162,
445,1063,7338210,0,159,
446,1063,7364875,0,135,
447,1063,7352912,0,129,
448,1062,7314730,0,177,
449,1063,7339776,0,148,
450,1063,7317726,0,129,
451,1063,7319705,0,161,
452,1064,7274005,0,206,
453,1063,7318881,0,180,
454,1064,7322966,0,164,
455,1063,7321257,0,171,
456,1063,7348946,0,128,
457,1063,7342944,0,126,
458,1063,7334503,1,132,
459,1064,7205855,0,589,
460,1063,7333561,0,146,
461,1064,7359919,0,161,
462,1063,7367493,0,119,
463,1063,7351439,0,171,
464,1064,7369982,0,152,
465,1063,7351270,0,142,
466,1063,7361241,0,144,
467,1062,7299051,0,170,
468,1063,7319338,0,153,
469,1063,7333837,0,159,
470,1064,7330149,0,159,
471,1063,7323718,0,110,
472,1062,7352849,0,147,
473,1063,7330167,0,138,
474,1064,7324499,0,179,
475,1062,7330222,0,152,
476,1063,7317718,0,151,
477,1063,7341816,0,142,
478,1065,7243506,0,629,
479,1063,7337586,0,220,
480,1064,7318759,0,135,
481,1063,7373116,0,165,
482,1063,7338699,0,235,
483,1064,7365776,0,176,
484,1063,7368690,0,177,
485,1063,7383621,0,132,
486,1064,7380345,0,186,
487,1063,7393473,0,181,
488,1063,7446087,0,162,
489,1063,7419258,0,217,
490,1064,7437563,0,180,
491,1063,7428587,0,141,
492,1063,7423741,0,140,
493,1063,7385347,0,189,
494,1063,7406678,0,165,
495,1064,7416331,0,176,
496,1063,7406569,0,120,
497,1064,7254772,0,635,
498,1064,7396881,0,154,
499,1063,7405101,0,134,
500,1063,7411485,0,164,
501,1063,7373433,0,185,
502,1064,7384169,0,181,
503,1063,7393891,0,125,
504,1063,7363035,0,173,
505,1064,7415965,0,133,
506,1063,7429183,0,142,
507,1063,7423960,0,154,
508,1063,7404585,0,197,
509,1063,7427513,0,154,
510,1063,7385143,0,287,
511,1063,7411737,0,142,
512,1063,7406790,0,251,
513,1063,7438840,0,150,
514,1064,7471532,0,170,
515,1062,7494615,0,139,
516,1065,7363646,0,645,
517,1064,7499575,0,139,
518,1063,7505902,0,135,
519,1064,7490622,0,178,
520,1063,3693908,1,292,
521,1063,2263756,0,108,
522,1065,4140474,1,1055,
523,1063,7250570,0,213,
524,1063,7272955,0,184,
525,1063,7260861,0,194,
526,1063,7268451,0,142,
527,1063,7243845,0,209,
528,1063,7281083,0,152,
529,1063,7278547,0,150,
530,1064,7307132,0,191,
531,1063,7291840,0,197,
532,1063,7308323,2,154,
533,1063,7296283,0,124,
534,1053,7128216,0,484,
535,1063,7325087,0,220,
536,1063,7315891,0,171,
537,1063,7342227,0,122,
538,1064,7301493,0,195,
539,1063,7353593,0,154,
540,1063,7359814,0,140,
541,1063,7354359,0,121,
542,1063,7315444,0,175,
543,1064,7328021,0,148,
544,1063,7345763,0,102,
545,1063,7343387,0,140,
546,1064,7311284,0,208,
547,1063,7346213,0,176,
548,1063,7355368,0,147,
549,1063,7349797,0,171,
550,1063,7371332,0,148,
551,1063,7372421,0,139,
552,1063,7371015,0,171,
553,1065,7229391,0,637,
554,1063,7369618,0,161,
555,1063,7378035,0,132,
556,1063,7382424,0,145,
557,1064,7323082,0,224,
558,1063,7312919,0,171,
559,1063,7326686,0,117,
560,1063,7331023,0,148,
