sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
53920,164,224030,2192,5642,1131,544951,5642
53921,165,224171,2137,5667,1160,544464,5667
53922,164,210091,2280,5658,1091,544347,5658
53923,164,200664,2217,5107,1422,544179,5107
53924,164,224941,2104,5610,1313,544720,5610
53925,165,218672,2332,5914,1180,544909,5914
53926,171,219276,2162,5353,1237,546756,5353
53927,165,224347,2215,5406,1287,545871,5406
53928,164,239691,1961,5458,1374,545009,5458
53929,165,208348,2296,5434,1269,544076,5434
53930,164,235820,2102,5245,1171,544786,5245
53931,164,220029,2245,5293,1224,544163,5293
53932,165,205780,2274,5228,1298,544203,5228
53933,164,237503,2074,5169,1141,544511,5169
53934,165,251837,2077,5467,1159,545104,5467
53935,165,243719,2007,5230,1312,545075,5230
53936,165,203428,2332,5746,1297,544344,5746
53937,164,231627,2025,5353,1305,544680,5353
53938,165,222949,2056,5611,1373,544299,5611
53939,164,239215,1856,4925,1394,545503,4925
53940,165,233131,2127,5510,1165,545182,5510
53941,165,235914,2137,5266,1213,544525,5266
53942,164,287315,1869,4727,1266,544580,4727
53943,165,237774,2065,5239,1391,546104,5239
53944,165,212263,2251,5915,1274,545034,5915
53945,164,233264,2050,5328,1246,544655,5328
53946,165,202353,2372,5791,1111,545207,5791
53947,164,212826,2265,5647,1263,545726,5647
53948,165,232157,2081,5542,1256,544701,5542
53949,170,235671,2198,5805,1297,565820,5805
53950,165,207128,2349,5555,1170,546029,5555
53951,165,194707,1625,4892,948,436760,4892
53952,164,245364,2031,5347,1147,543826,5347
53953,164,309048,1224,5027,1473,544397,5027
53954,165,217284,2266,5713,1183,544210,5713
53955,165,214877,1764,5080,1339,545181,5080
53956,164,247585,1899,5446,1264,543759,5446
53957,164,217097,2272,5997,1183,544895,5997
53958,164,213982,2143,5326,1176,543980,5326
53959,165,253084,1794,5982,1263,544735,5982
53960,164,218856,2078,5593,1319,544075,5593
53961,165,268346,1776,5604,1165,545178,5604
53962,164,217939,2042,5030,1441,544192,5030
53963,165,228339,2043,5510,1228,544960,5510
53964,164,226804,2093,5074,1216,544986,5074
53965,165,232687,2091,5515,1176,544835,5515
53966,164,236065,2070,4656,1204,544208,4656
53967,165,242679,2034,5673,1122,544560,5673
53968,164,221416,2189,5595,1224,543887,5595
53969,164,255320,1897,5280,1325,544496,5280
53970,165,210910,2195,5683,1205,545035,5683
53971,165,215975,2371,5644,1177,545094,5644
53972,167,216944,2169,5191,1344,545132,5191
53973,164,319268,1204,4507,1375,544358,4507
53974,165,211104,2287,5395,1338,544422,5395
53975,165,204216,2153,6194,1296,534411,6194
53976,164,232967,2117,5980,1142,544819,5980
53977,165,206774,2191,5790,1265,545004,5790
53978,164,253861,1816,5134,1292,545336,5134
53979,165,199801,2286,5167,1398,544297,5167
53980,164,243495,2043,5191,1270,544211,5191
53981,164,220042,2098,5423,1267,544627,5423
53982,165,255460,1854,5324,1365,545271,5324
53983,165,240603,2172,5493,1187,545992,5493
53984,165,216676,2150,5330,1149,544060,5330
53985,164,241556,2072,5619,1153,544029,5619
53986,164,233311,2132,5653,1178,544277,5653
53987,165,219967,2260,5337,1257,544692,5337
53988,164,250105,1891,5461,1331,544464,5461
53989,165,241925,2036,5910,1162,545117,5910
53990,165,225487,2015,5144,1401,544747,5144
53991,164,221449,2155,5426,1257,544819,5426
53992,164,234354,2117,5588,1128,544916,5588
53993,165,222157,2194,5715,1108,544816,5715
53994,165,250638,1939,4776,1240,544840,4776
53995,158,160584,913,2948,711,303853,2948
53996,165,17523,412,1524,317,93730,1524
53997,164,231127,2080,5680,1322,544147,5680
53998,164,211684,2176,5785,1271,544021,5785
53999,165,228890,2026,5367,1233,532216,5367
54000,164,208681,2301,5894,1229,544730,5894
54001,165,229022,2119,5099,1296,544284,5099
54002,164,227508,2088,4812,1368,543975,4812
54003,164,219061,2217,6088,1163,544300,6088
54004,165,218668,2247,5934,1103,545336,5934
54005,164,202348,2321,5701,1213,545078,5701
54006,165,256870,1850,5254,1284,543950,5254
54007,165,259038,1879,5226,1156,545918,5226
54008,164,223921,2114,5017,1420,544896,5017
54009,165,233042,2123,5555,1227,545251,5555
54010,164,262024,1913,5091,1146,544327,5091
54011,165,219115,2188,5889,1295,545647,5889
54012,164,216915,2229,5456,1203,545223,5456
54013,165,194042,2359,5855,1158,544254,5855
54014,164,253332,2033,5095,1226,545672,5095
54015,165,214292,2154,4827,1437,546004,4827
54016,165,210840,2357,6305,1151,546133,6305
54017,164,211922,2312,5432,1357,545306,5432
54018,166,246525,2120,5517,1195,546960,5517
54019,165,183106,1713,4870,894,443705,4870
54020,164,207315,1871,5430,1097,501955,5430
54021,165,240865,2051,5112,1343,544813,5112
54022,165,223096,2141,5554,1310,545390,5554
54023,164,272604,1756,5044,1220,544442,5044
54024,164,221300,1978,5676,1332,529308,5676
54025,165,232604,2123,5394,1222,544748,5394
54026,164,319559,1342,4632,1235,544189,4632
54027,164,198061,2409,5926,1179,544240,5926
54028,165,209129,2282,5849,1277,544530,5849
54029,164,203920,2320,5893,1153,544536,5893
54030,165,208910,2282,5649,1297,544532,5649
54031,164,218208,2201,5424,1184,544817,5424
54032,165,257283,1678,5176,1384,544462,5176
54033,164,255017,1856,5022,1316,543752,5022
54034,164,263214,1713,4767,1370,543909,4767
54035,164,266125,1809,5378,1266,544612,5378
54036,165,220284,2082,5450,1314,546503,5450
54037,165,222551,2140,5429,1224,544733,5429
54038,164,216620,2151,5373,1324,544735,5373
54039,165,214282,2212,5016,1271,545262,5016
54040,165,208151,2284,5359,1313,545092,5359
54041,164,229719,2184,5685,1125,543778,5685
54042,164,289925,1673,4564,1298,543870,4564
54043,165,234837,2119,6040,1181,543720,6040
54044,164,230333,2142,5635,1278,544163,5635
54045,164,222543,2236,5742,1233,544279,5742
54046,164,263284,1858,4443,1198,544249,4443
54047,165,241034,2037,4962,1360,544580,4962
54048,165,206648,2153,5680,1208,534152,5680
54049,164,238216,2020,4150,1536,544766,4150
54050,165,204683,2321,6059,1160,545313,6059
54051,164,222655,2178,5490,1247,545383,5490
54052,165,212966,2268,5748,1142,544830,5748
54053,164,220503,2100,5673,1267,544540,5673
54054,164,260790,1888,5099,1176,543807,5099
54055,165,232036,2074,5270,1201,544171,5270
54056,164,249535,1901,5074,1347,544705,5074
54057,165,212132,2286,5677,1190,545604,5677
54058,171,210347,2197,5499,1280,544454,5499
54059,164,246702,1958,5461,1188,544092,5461
54060,165,236431,2048,5152,1353,546191,5152
54061,164,209347,2239,5607,1139,544100,5607
54062,164,253348,1958,5710,1153,544665,5710
54063,165,231283,2036,4700,1474,544540,4700
54064,164,226285,2104,5255,1266,545767,5255
54065,165,219503,2159,5743,1297,544621,5743
54066,164,196225,2398,5745,1118,544474,5745
54067,164,235336,2060,5992,1212,545056,5992
54068,165,222556,2095,5471,1239,545198,5471
54069,165,243144,2022,5213,1248,544292,5213
54070,164,216658,2272,5503,1233,544400,5503
54071,165,236808,2108,5229,1289,545631,5229
54072,165,198273,2211,5501,1322,534167,5501
54073,164,230065,2127,5624,1355,544541,5624
54074,165,225737,2173,5808,1197,544620,5808
54075,164,228100,2220,5576,1174,544801,5576
54076,165,234966,2057,5021,1317,544311,5021
54077,165,225807,2226,5376,1139,546698,5376
54078,164,242290,1923,4884,1331,544968,4884
54079,165,260960,1832,5305,1254,545472,5305
54080,164,240569,2017,5346,1315,543688,5346
54081,165,238824,2062,5549,1248,544420,5549
54082,165,210962,2231,5276,1282,544754,5276
54083,164,256835,2078,5003,1238,545322,5003
54084,165,238451,2054,5454,1251,544185,5454
54085,164,220867,2148,5559,1251,544272,5559
54086,164,221428,2243,5575,1084,544233,5575
54087,165,200230,2391,5725,1049,545449,5725
54088,164,221723,2063,5293,1246,544090,5293
54089,165,233361,2148,5403,1189,544277,5403
54090,165,220231,2202,5750,1183,545259,5750
54091,164,245324,1969,5009,1384,544135,5009
54092,165,228063,2084,5357,1206,544826,5357
54093,172,222316,2104,5006,1300,545321,5006
54094,158,1,0,0,0,0,0
54095,164,160169,1079,4074,779,338130,4074
54096,165,248519,1808,5241,1391,543634,5241
54097,165,197645,2312,6055,1136,531155,6055
54098,164,228218,2031,5323,1305,545130,5323
54099,165,205201,2283,5541,1254,544422,5541
54100,164,231051,2106,5435,1216,544431,5435
54101,164,215067,2193,5496,1167,543985,5496
54102,164,220350,2271,5625,1126,543823,5625
54103,165,208977,2270,5716,1112,544031,5716
54104,164,222824,2082,5245,1326,545258,5245
54105,165,247024,1913,5651,1181,543810,5651
54106,164,229009,2111,5312,1230,545026,5312
54107,164,232067,2044,5403,1249,543718,5403
54108,164,218889,2185,5923,1139,543509,5923
54109,165,214438,2251,5586,1194,545250,5586
54110,165,231997,2080,5252,1296,544690,5252
54111,164,239906,2015,5219,1289,544521,5219
54112,165,241040,1963,5327,1104,545335,5327
54113,164,222841,2168,5586,1244,545092,5586
54114,164,216954,2252,5811,1090,543924,5811
54115,165,216208,2279,5473,1254,544596,5473
54116,165,222914,2150,5665,1246,544146,5665
54117,164,245993,1923,5444,1321,544151,5444
54118,164,212923,2272,5689,1225,544360,5689
54119,165,250273,1939,5153,1257,544232,5153
54120,165,311092,1451,4328,1281,544586,4328
54121,165,224600,2019,5769,1271,532921,5769
54122,164,253396,1917,5843,1273,544838,5843
54123,165,212664,2262,5401,1279,545012,5401
54124,164,236846,1999,4926,1408,545285,4926
54125,165,206803,2396,5764,1127,546288,5764
54126,165,248202,1863,4942,1339,546889,4942
54127,164,242405,1923,5148,1262,543858,5148
