sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
254,1062,5389568,2,2258
255,1060,5383612,1,2342
256,1060,5368650,2,2821
257,1060,5504563,2,2292
258,1060,5506717,2,2520
259,1059,5378914,1,2350
260,1060,5445838,2,2925
261,1060,5465115,2,2395
262,1060,5461068,1,2418
263,1060,5441163,2,2390
264,1060,5460116,2,2280
265,1059,5455135,2,2243
266,1060,5460664,1,2233
267,1060,5422013,0,2570
268,1060,5384522,0,2083
269,1060,5383596,0,2077
270,1059,5382842,0,1988
271,1060,5371493,0,2146
272,1060,5383526,0,1982
273,1059,5387985,0,1798
274,1060,5389590,0,1517
275,1061,5372749,0,1865
276,1060,5514098,0,1745
277,1059,5515194,0,1577
278,1060,5511478,0,1946
279,1061,5303898,50,17174
280,1060,5505147,0,2825
281,1060,5513855,2,2526
282,1060,5502073,0,2861
283,1060,5515122,1,2290
284,1060,5512967,3,2181
285,1060,5512402,0,1995
286,1060,5483299,0,2140
287,1060,5506484,1,1908
288,1060,5513674,2,2190
289,1059,5510534,1,2192
290,1060,5494046,3,2202
291,1060,5509830,2,2111
292,1060,5512026,2,2159
293,1060,5512401,1,2172
294,1060,5500489,2,1882
295,1060,5512661,1,1375
296,1060,5518694,0,1139
297,1060,5501824,1,1520
298,1060,5513699,1,1564
299,1060,5515574,2,1578
300,1060,5508216,2,1638
301,1060,5498701,2,2270
302,1059,5502017,1,2720
303,1060,5509117,3,2214
304,1060,5510226,2,2526
305,1060,5492935,2,2429
306,1060,5504150,1,2407
307,1060,5506817,2,2406
308,1059,5503634,2,2257
309,1060,5485948,2,2818
310,1060,5515641,1,2440
311,1060,5512438,2,2270
312,1060,5511634,1,2220
313,1059,5505934,2,2311
314,1060,5506625,1,2418
315,1060,5510617,1,2071
316,1060,5493486,0,2457
317,1062,5505841,0,2149
318,1060,5515062,0,1737
319,1060,5509795,1,1738
320,1060,5492577,1,2171
321,1060,5516734,1,1964
322,1059,5514754,1,1697
323,1060,5517054,3,1898
324,1060,5505936,1,1642
325,1060,5514513,2,1507
326,1060,5383074,0,1455
327,1060,5509180,0,1859
328,1061,5232148,52,17443
329,1060,5383630,1,2695
330,1059,5509440,1,2669
331,1060,5493589,2,2744
332,1060,5513491,2,2072
333,1060,5510260,2,1953
334,1060,5515306,1,1991
335,1060,5502857,2,2076
336,1060,5516130,2,1849
337,1060,5511898,1,2150
338,1059,5505731,3,2137
339,1061,5422421,1,2233
340,1059,5379716,0,2039
341,1060,5386680,0,2076
342,1060,5385608,0,2191
343,1060,5371974,0,1998
344,1060,5382164,1,1530
345,1060,5388145,0,1128
346,1034,5246746,0,1565
347,1060,5388200,0,1727
348,1060,5387190,0,1535
349,1059,5382391,0,1794
350,1060,5370504,0,2224
351,1060,5508934,0,2668
352,1060,5509773,0,2425
353,1059,5508799,0,2252
354,1060,5495483,0,2448
355,1060,5506993,0,2550
356,1060,5504143,1,2546
357,1060,5504849,1,2385
358,1060,5492572,0,2758
359,1060,5509460,0,2652
360,1059,5509581,0,2248
361,1060,5510443,0,2411
362,1060,5500988,1,2457
363,1060,5515315,1,2258
364,1059,5510558,3,2214
365,1061,5489018,1,2407
366,1059,5509114,1,2315
367,1060,5381813,0,1907
368,1060,5382183,1,1882
369,1060,5374331,2,2076
370,1060,5387663,2,2093
371,1060,5389297,1,1794
372,1060,5387751,2,1760
373,1059,5378332,2,1909
374,1061,5388232,2,1634
375,1060,5387129,1,1417
376,1059,5389476,1,1672
377,1061,5474363,0,3510
378,1061,5346097,45,16252
379,1060,5507498,2,2807
380,1023,5312522,1,2476
381,1060,5508889,2,2424
382,1060,5391264,0,1910
383,1060,5390017,1,1833
384,1059,5374877,0,2142
385,1060,5388012,0,1897
386,1060,5389790,0,1896
387,1060,5382636,0,2202
388,1060,5450808,1,2330
389,1060,5385035,1,2041
390,1059,5390193,1,1884
391,1060,5465761,0,2197
392,1060,5453940,0,2055
393,1060,5467965,2,1535
394,1060,5468968,1,1280
395,1060,5467609,0,1052
396,1060,5454560,0,1415
397,1060,5466329,0,1533
398,1060,5460211,0,1362
399,1060,5446621,1,2064
400,1060,5455010,0,2152
401,1060,5457640,0,2407
402,1059,5459416,2,2599
403,1060,5449244,2,2730
404,1060,5454325,1,2761
405,1060,5462395,1,2800
406,1059,5459848,1,2489
407,1060,5441494,2,2599
408,1060,5457315,1,2882
409,1060,5468103,2,2137
410,1060,5460490,2,2269
411,1060,5443838,2,2443
412,1060,5463519,2,2124
413,1060,5459735,0,2107
414,1024,5265440,0,2241
415,1059,5463199,2,2272
416,1060,5452560,1,2136
417,1060,5381192,2,1938
418,1060,5373694,2,1902
419,1060,5380780,2,2059
420,1059,5460644,1,2101
421,1060,5462595,2,1599
422,1060,5456400,2,1456
423,1060,5467253,2,1415
424,1060,5463454,1,1593
425,1062,5463879,2,1435
426,1060,5386002,2,2101
427,1061,5284269,75,17439
428,1060,5460439,2,2949
429,1060,5462084,2,2656
430,1060,5448209,2,2742
431,1059,5385594,1,2166
432,1060,5388365,0,1933
433,1060,5368309,1,2109
434,1060,5387705,2,1925
435,1060,5384817,1,1910
436,1060,5460155,1,1916
437,1060,5378530,2,2250
438,1060,5381231,1,2079
439,1060,5386946,0,2221
440,1060,5512061,0,1983
441,1060,5503463,1,2197
442,1059,5509208,0,1819
443,1060,5518078,0,1471
444,1060,5514510,0,1192
445,1061,5496510,0,1611
446,1059,5513849,0,1524
447,1060,5516844,0,1673
448,1020,5298310,0,1752
449,1061,5512264,1,1800
450,1059,5509241,0,2661
451,1060,5508573,0,2241
452,1060,5500091,2,2456
453,1060,5500775,2,2425
454,1060,5507013,1,2373
455,1059,5507815,3,2603
456,1060,5487589,2,2670
457,1060,5503619,2,2397
458,1060,5510880,1,2764
459,1059,5515917,2,2263
460,1060,5492874,2,2590
461,1060,5509111,1,2218
462,1060,5508692,3,2284
463,1060,5509532,0,2201
464,1059,5491461,2,2542
465,1060,5511793,0,2221
466,1060,5504671,1,1905
467,1060,5490477,2,2301
468,1060,5512432,0,1931
469,1060,5509500,0,1854
470,1060,5512026,1,1852
471,1060,5415843,1,1902
472,1059,5518244,1,1701
473,1060,5516430,2,1492
474,1060,5383170,0,1657
475,1060,5499135,0,1942
476,1061,5338113,1,6404
477,1061,5284195,37,12309
478,1060,5506629,2,2675
479,1060,5495524,1,2904
480,1059,5511585,1,2517
481,1060,5515110,2,2092
482,1023,5313740,0,1906
483,1060,5513623,1,1885
484,1060,5515332,2,1994
485,1060,5510837,2,1915
486,1060,5501733,1,2297
487,1060,5508175,0,2146
488,1059,5508469,1,2066
489,1060,5507757,2,1894
490,1060,5492339,2,2353
491,1060,5504569,1,2044
492,1060,5509145,2,1773
493,1060,5513521,2,916
494,1060,5502714,2,1451
495,1060,5515426,1,1591
496,1060,5515036,2,1544
497,1060,5509115,1,1747
498,1060,5499974,1,2359
499,1060,5504211,2,2805
500,1059,5504712,1,2222
501,1060,5494904,2,2478
502,1060,5509093,2,2524
503,1060,5508103,2,2711
504,1060,5510418,1,2329
505,1059,5453586,1,2405
506,1060,5499837,2,2241
507,1060,5507004,2,2763
508,1060,5512088,1,2423
509,1059,5496761,0,2618
510,1060,5514415,1,2268
511,1060,5510718,2,2312
512,1060,5509910,1,2418
513,1059,5491422,0,2488
514,1060,5504959,0,2445
515,1060,5507989,1,1939
516,1025,5319293,1,1959
517,1060,5512278,0,2046
518,1060,5510964,1,2029
519,1060,5512021,1,1906
520,1060,5497295,0,1935
521,1060,5519892,1,1632
522,1060,5515410,1,1663
523,1060,5513453,0,1559
524,1060,5497227,1,1942
525,1061,5474911,1,3832
526,1061,5345768,52,15935
527,1060,5506230,2,2762
528,1059,5494318,2,2880
529,1060,5513438,3,2374
530,1060,5512345,2,1951
531,1060,5515857,2,2078
532,1060,5507608,1,2130
533,1060,5511677,2,1833
534,1060,5506608,2,1946
535,1060,5491562,2,2192
536,1059,5499637,2,2133
537,1060,5504790,1,2059
538,1060,5516752,2,2106
539,1060,5500955,2,2361
540,1060,5508313,2,1932
541,1060,5516155,0,1576
542,1060,5521983,0,1072
543,1060,5510145,0,1465
544,1060,5514498,0,1498
545,1060,5512782,0,1641
546,1060,5517490,1,1682
547,1060,5496208,0,2069
548,1060,5513135,0,2768
549,1060,5503971,1,2507
550,1020,5301542,1,2096
551,1060,5509499,1,2502
552,1060,5509742,2,2401
553,1060,5505080,2,2372
554,1059,5494332,1,2546
555,1060,5512751,2,2575
556,1060,5513592,2,2671
557,1060,5516976,2,2029
558,1060,5488348,1,2525
559,1059,5505312,0,2205
560,1060,5514810,0,2304
561,1060,5503723,0,2416
562,1060,5496065,0,2225
563,1060,5380268,0,2298
564,1059,5380243,1,2263
565,1060,5467600,0,1778
566,1060,5372356,0,1797
567,1060,5381336,0,2105
568,1060,5387841,0,1889
569,1060,5367948,0,1816
570,1059,5387243,1,1523
571,1060,5386806,0,1684
572,1060,5518025,0,1748
573,1060,5369950,0,1580
574,1060,5386264,0,1901
575,1061,5230191,33,18350
576,1060,5382537,2,2631
577,1060,5446887,2,2707
578,1060,5509848,0,2674
579,1060,5511127,0,2150
580,1060,5508862,0,2057
581,1060,5504662,0,2223
582,1060,5513289,0,1932
583,1060,5509875,0,2070
584,1024,5317305,0,2219
585,1060,5505163,0,2276
586,1059,5503786,0,2175
587,1060,5512942,0,1967
588,1060,5494492,1,2423
589,1060,5511275,0,2098
590,1060,5511980,0,1813
591,1060,5512085,0,1638
592,1060,5501444,0,1567
593,1060,5511983,0,1492
594,1060,5511544,0,1798
595,1060,5515906,1,1634
596,1062,5498518,0,2190
597,1060,5508628,0,2183
598,1059,5508328,0,2294
599,1060,5510566,0,2313
600,1060,5493595,2,2286
601,1060,5511996,2,2391
602,1060,5509442,1,2542
603,1059,5473394,1,3070
604,1060,5381348,2,2476
605,1060,5381110,1,2444
606,1060,5456876,2,2522
607,1060,5395593,0,2791
608,1060,5461093,0,2322
609,1059,5464882,0,2171
610,1060,5458991,0,2321
611,1060,5444015,2,2493
612,1060,5461210,2,2483
613,1060,5464234,1,1955
614,1059,5385929,0,1720
615,1060,5369444,0,1960
616,1060,5388013,0,1825
617,1060,5386129,2,1905
618,1022,5192768,2,1754
619,1060,5387302,0,1670
620,1060,5386301,0,1760
621,1060,5388245,0,1711
622,1060,5374513,0,1628
623,1060,5382285,0,1847
624,1061,5234153,44,18127
625,1060,5388539,1,2789
626,1059,5499909,3,2657
627,1060,5509007,2,2725
628,1060,5516892,2,2346
629,1060,5521272,0,1978
630,1060,5501241,1,2219
631,1060,5511571,2,1948
632,1060,5510304,1,1958
633,1060,5512466,0,2003
634,1060,5495043,0,2339
635,1060,5509391,0,2057
636,1060,5512918,3,2013
637,1060,5499695,2,2280
638,1060,5513268,1,2169
639,1060,5516194,0,1774
640,1060,5516013,0,1498
641,1060,5502029,0,1335
642,1060,5518041,0,1282
643,1060,5508605,0,1676
644,1060,5515456,1,1554
645,1059,5493436,2,1740
646,1060,5505096,0,2155
647,1060,5511219,1,2807
648,1060,5510052,2,2237
649,1060,5488315,2,2559
650,1060,5504515,1,2159
651,1060,5502576,0,2374
652,1021,5302545,1,2429
653,1060,5499272,2,2434
654,1060,5508703,3,2593
655,1060,5379713,2,2597
656,1060,5368485,0,2585
657,1060,5384495,0,2377
658,1059,5389043,0,2184
659,1060,5386396,0,2277
660,1060,5492921,0,2519
661,1060,5507863,1,2292
662,1059,5506710,1,2232
663,1060,5508363,0,1951
664,1060,5494070,0,2167
665,1060,5510722,0,1938
666,1060,5511268,3,2086
667,1060,5513936,2,1902
668,1060,5499687,2,1925
669,1059,5513361,0,1767
670,1060,5510775,0,1785
671,1060,5499543,2,1671
672,1060,5505012,2,1637
673,1061,5399250,1,11131
674,1061,5420912,49,9199
675,1060,5502340,1,2943
676,1060,5512733,2,2678
677,1060,5512788,2,2484
678,1060,5513165,2,2064
679,1060,5505462,2,2193
680,1060,5519080,1,1953
681,1060,5514167,1,1828
682,1060,5515703,0,1946
683,1060,5490848,2,2341
684,1060,5508279,2,2059
685,1062,5504359,2,2147
686,1020,5290741,2,1898
687,1060,5504570,1,2341
688,1060,5515688,0,1927
689,1060,5515202,1,1517
690,1059,5498231,2,1602
691,1061,5520090,2,1116
692,1060,5511447,2,1381
693,1060,5515597,1,1571
694,1059,5493382,2,1884
695,1060,5508963,2,1832
696,1060,5505695,2,2778
697,1060,5504431,1,2311
698,1060,5492535,2,2510
699,1060,5506859,2,2542
700,1059,5508447,2,2283
701,1060,5510568,2,2615
702,1060,5489123,1,2436
703,1059,5513703,2,2583
704,1060,5509067,2,2660
705,1060,5492236,1,2372
706,1060,5508161,1,2411
707,1060,5516509,2,2103
708,1060,5509081,1,2240
709,1059,5496735,1,2532
710,1060,5508412,2,2282
711,1060,5507466,3,2467
712,1060,5512689,0,1971
713,1060,5501341,0,2202
714,1060,5517042,0,1988
715,1059,5512603,1,2140
716,1060,5511699,2,1806
717,1060,5496975,1,2099
718,1060,5513833,1,1672
719,1060,5514979,0,1581
720,1025,5325169,0,1519
721,1060,5510561,1,1763
722,1061,5433993,2,8014
723,1061,5390721,69,12084
724,1059,5502665,1,3001
725,1060,5508859,1,2644
726,1060,5513933,3,2347
727,1060,5519809,0,1987
728,1060,5502573,1,2308
729,1060,5511700,1,2070
730,1060,5516415,0,1914
731,1060,5511241,0,1911
732,1060,5490669,0,2349
733,1060,5510477,2,1993
734,1060,5512212,1,2023
735,1060,5509201,2,2127
736,1060,5499180,1,2343
737,1060,5510882,0,1972
738,1060,5512680,0,1618
739,1060,5491728,0,1668
740,1060,5511388,3,1152
741,1060,5512252,1,1585
742,1060,5516108,0,1570
743,1060,5505011,0,1782
744,1060,5508190,0,1707
745,1060,5501668,0,2636
746,1059,5512182,2,2226
747,1060,5499753,0,2509
748,1060,5510157,1,2252
749,1060,5507332,2,2466
750,1060,5502775,2,2698
751,1059,5490999,1,2602
752,1060,5507623,2,2364
753,1060,5502269,2,2841
754,1020,5294756,0,2100
755,1060,5506927,0,2323
756,1060,5514532,0,2192
757,1060,5511935,1,2211
758,1060,5491694,3,2546
759,1060,5501594,2,2253
760,1059,5510565,0,2210
761,1060,5506296,0,2025
762,1060,5496907,2,2118
763,1060,5509581,3,1955
764,1060,5512405,2,1841
765,1060,5518429,1,1824
766,1062,5502463,1,1766
767,1060,5510068,2,1761
768,1060,5512481,2,1752
769,1060,5387361,1,1460
770,1060,5358258,1,1745
771,1061,5471975,0,4230
772,1061,5349245,33,15987
773,1060,5488458,2,3006
774,1060,5512541,2,2647
775,1060,5510639,1,2380
776,1060,5520268,2,1902
777,1060,5498851,2,2165
778,1060,5385196,1,1859
779,1060,5388851,0,1918
780,1059,5379426,0,1900
781,1060,5372134,0,2330
782,1060,5385502,0,2008
783,1060,5505606,1,2046
784,1060,5514772,1,2026
785,1060,5493071,1,2347
786,1060,5510591,1,2046
787,1060,5516411,0,1529
788,1026,5331670,1,1149
789,1063,5593129,0,1442
790,1061,5584535,0,1627
791,1062,5589521,0,1553
792,1062,5570953,0,1603
793,1062,5589742,0,1877
794,1062,5529404,1,2326
795,1062,5450469,1,2379
796,1061,5438257,1,2496
797,1062,5581981,1,2306
798,1062,5575411,0,2630
799,1061,5576197,1,2402
800,1062,5563680,2,2727
801,1062,5577536,1,2558
802,1061,5587490,1,2716
803,1062,5585614,0,2134
804,1062,5574057,0,2553
805,1062,5582792,0,2136
806,1061,5581238,0,2327
807,1062,5565077,0,2685
808,1062,5580443,0,2231
809,1061,5583372,0,2304
810,1062,5581720,0,1970
