sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
156,163,53458,806,1568,12,543732,1568
157,164,53676,811,1573,12,543520,1573
158,165,54893,791,1702,12,543998,1702
159,164,54165,786,1548,11,544523,1548
160,163,53383,806,1564,11,543444,1564
161,164,53820,813,1572,11,543633,1572
162,163,53444,807,1566,12,543500,1566
163,164,53600,810,1569,11,543499,1569
164,164,53463,807,1567,12,543451,1567
165,163,53338,805,1563,11,543495,1563
166,164,53448,807,1566,11,543689,1566
167,164,53557,809,1568,11,544573,1568
168,164,54310,801,1696,13,543598,1696
169,165,56958,789,1550,17,544289,1550
170,163,53874,788,1550,12,543479,1550
171,164,53684,811,1570,12,543691,1570
172,164,53509,808,1567,12,543901,1567
173,163,53354,805,1564,12,543629,1564
174,164,53590,808,1567,12,543486,1567
175,164,53635,811,1570,12,543823,1570
176,163,53228,802,1562,11,543608,1562
177,164,53629,811,1570,9,543810,1570
178,164,53396,805,1563,12,543784,1563
179,164,52983,797,1557,13,538807,1557
180,167,54975,791,1611,15,551839,1611
181,164,53806,789,1551,13,543624,1551
182,163,53375,805,1564,12,543660,1564
183,164,53702,812,1570,11,543513,1570
184,164,53443,807,1566,12,543574,1566
185,164,53450,807,1567,11,543946,1567
186,163,56337,799,1560,17,543687,1560
187,164,53328,805,1563,12,543727,1563
188,164,53365,805,1564,11,543551,1564
189,164,53874,815,1574,11,544159,1574
190,164,54963,801,1780,12,543922,1780
191,165,54064,786,1548,13,544438,1548
192,163,53574,800,1562,16,543434,1562
193,164,53734,813,1572,10,543570,1572
194,164,53464,807,1565,12,543586,1565
195,163,53512,808,1566,12,543608,1566
196,164,53484,807,1565,12,543341,1565
197,164,53505,810,1568,12,543423,1568
198,164,53582,810,1568,10,543986,1568
199,164,53832,815,1574,11,543631,1574
200,164,54284,801,1693,12,543725,1693
201,165,54573,789,1548,11,544088,1548
202,164,56715,797,1560,18,543681,1560
203,168,54326,825,1583,12,551974,1583
204,163,53580,809,1571,13,544534,1571
205,164,54444,826,1587,11,543596,1587
206,164,54496,829,1592,11,543914,1592
207,164,54443,827,1588,11,543362,1588
208,164,56116,802,1819,14,544076,1819
209,164,54141,792,1560,11,543398,1560
210,163,53352,805,1568,11,543394,1568
211,166,53532,808,1571,11,543554,1571
212,163,53640,811,1573,11,544082,1573
213,164,53680,810,1572,11,543504,1572
214,164,53545,809,1570,13,543776,1570
215,164,53441,807,1569,13,543790,1569
216,164,53459,807,1569,10,543400,1569
217,164,53617,810,1571,12,544111,1571
218,164,57733,791,1607,17,544072,1607
219,164,54122,786,1550,11,544204,1550
220,164,53754,813,1574,13,543508,1574
221,164,53439,807,1567,11,543815,1567
222,164,53498,808,1568,12,543895,1568
223,163,53459,806,1569,10,543755,1569
224,164,53806,814,1575,11,543636,1575
225,164,53496,808,1568,11,543377,1568
226,164,53738,813,1574,12,543630,1574
227,163,53483,807,1568,12,543890,1568
228,165,53011,787,1548,12,537704,1548
229,164,54698,791,1553,15,544324,1553
230,164,53557,791,1556,11,543843,1556
231,164,53631,811,1572,10,543634,1572
232,164,53260,803,1565,9,543520,1565
