sample,test-timestamp (usec),test-interval (usec),test-PAPI_TOT_INS,test-PAPI_L3_TCM,test-PAPI_L3_TCA,ls-timestamp (usec),ls-interval (usec),ls-PAPI_TOT_INS,ls-PAPI_L3_TCM,ls-PAPI_L3_TCA,spectre-timestamp (usec),spectre-interval (usec),spectre-PAPI_TOT_INS,spectre-PAPI_L3_TCM,spectre-PAPI_L3_TCA,
0,19,19,0,0,0,19,19,0,0,0,13,13,761,12,165,
1,28,9,723,35,131,28,9,443,84,124,21,8,0,0,0,
2,35,7,0,0,0,35,7,136,0,0,23,2,0,0,0,
3,41,6,0,0,0,41,6,0,0,0,26,3,0,0,0,
4,47,6,0,0,0,48,7,0,0,0,29,3,0,0,0,
5,53,6,0,0,0,54,6,0,0,0,31,2,0,0,0,
6,59,6,0,0,0,60,6,0,0,0,34,3,0,0,0,
7,65,6,0,0,0,66,6,0,0,0,37,3,0,0,0,
8,72,7,0,0,0,72,6,0,0,0,39,2,0,0,0,
9,78,6,0,0,0,78,6,0,0,0,42,3,0,0,0,
10,84,6,0,0,0,84,6,0,0,0,45,3,0,0,0,
11,90,6,0,0,0,91,7,0,0,0,47,2,0,0,0,
12,96,6,0,0,0,97,6,0,0,0,50,3,0,0,0,
13,103,7,0,0,0,103,6,0,0,0,53,3,0,0,0,
14,109,6,0,0,0,109,6,0,0,0,55,2,0,0,0,
15,115,6,0,0,0,115,6,0,0,0,58,3,0,0,0,
16,121,6,0,0,0,121,6,0,0,0,61,3,0,0,0,
17,127,6,0,0,0,128,7,0,0,0,63,2,0,0,0,
18,134,7,0,0,0,134,6,0,0,0,66,3,0,0,0,
19,140,6,0,0,0,140,6,0,0,0,69,3,0,0,0,
20,146,6,0,0,0,146,6,0,0,0,71,2,0,0,0,
21,152,6,0,0,0,152,6,0,0,0,74,3,0,0,0,
22,158,6,0,0,0,158,6,0,0,0,77,3,0,0,0,
23,164,6,0,0,0,164,6,0,0,0,79,2,0,0,0,
24,170,6,0,0,0,171,7,0,0,0,82,3,0,0,0,
