sample,test-timestamp (usec),test-interval (usec),test-PAPI_TOT_INS,test-PAPI_L3_TCM,test-PAPI_L3_TCA,ls-timestamp (usec),ls-interval (usec),ls-PAPI_TOT_INS,ls-PAPI_L3_TCM,ls-PAPI_L3_TCA,spectre-timestamp (usec),spectre-interval (usec),spectre-PAPI_TOT_INS,spectre-PAPI_L3_TCM,spectre-PAPI_L3_TCA,
25,177,7,0,0,0,177,6,0,0,0,85,3,0,0,0,
26,186,9,0,0,0,183,6,0,0,0,87,2,0,0,0,
27,192,6,0,0,0,194,11,0,0,0,90,3,0,0,0,
28,204,12,0,0,0,201,7,0,0,0,93,3,0,0,0,
29,210,6,0,0,0,206,5,0,0,0,95,2,0,0,0,
30,216,6,0,0,0,213,7,0,0,0,98,3,0,0,0,
31,223,7,0,0,0,219,6,0,0,0,101,3,0,0,0,
32,229,6,0,0,0,225,6,0,0,0,103,2,0,0,0,
33,235,6,0,0,0,231,6,0,0,0,106,3,0,0,0,
34,241,6,0,0,0,237,6,0,0,0,109,3,0,0,0,
35,247,6,0,0,0,243,6,0,0,0,111,2,0,0,0,
36,253,6,0,0,0,249,6,0,0,0,114,3,0,0,0,
37,260,7,0,0,0,256,7,0,0,0,117,3,0,0,0,
38,266,6,0,0,0,263,7,0,0,0,119,2,0,0,0,
39,273,7,0,0,0,270,7,1,0,3,122,3,0,0,0,
40,280,7,0,0,0,276,6,0,0,0,125,3,0,0,0,
41,286,6,2,0,0,282,6,420,14,19,127,2,0,0,0,
42,292,6,18,6,9,288,6,213,18,24,130,3,0,0,0,
43,299,7,342,0,1,307,19,486,17,19,132,2,0,0,0,
44,319,20,465,15,27,314,7,308,11,10,135,3,0,0,0,
45,325,6,421,7,11,320,6,41,6,12,138,3,0,0,0,
46,332,7,1003,24,19,327,7,812,31,25,140,2,0,0,0,
47,338,6,0,0,0,333,6,120,0,0,143,3,0,0,0,
48,345,7,285,6,16,339,6,637,20,7,146,3,0,0,0,
49,351,6,24,0,1,346,7,23,0,1,149,3,0,0,0,
50,357,6,694,8,24,352,6,902,52,56,151,2,0,0,0,
51,363,6,0,0,0,358,6,0,0,0,154,3,0,0,0,
52,369,6,40,0,3,364,6,52,3,0,156,2,0,0,0,
53,375,6,31,0,0,370,6,0,0,0,159,3,0,0,0,
54,382,7,118,13,2,377,7,89,4,5,162,3,0,0,0,
55,388,6,530,29,33,383,6,1022,46,40,166,4,0,0,0,
56,394,6,266,0,0,390,7,20,0,1,168,2,0,0,0,
57,400,6,586,15,36,396,6,508,2,7,171,3,0,0,0,
58,407,7,544,14,24,402,6,653,12,20,174,3,0,0,0,
59,413,6,32,2,2,408,6,32,2,0,176,2,0,0,0,
60,421,8,0,0,0,414,6,80,0,1,179,3,0,0,0,
61,427,6,0,0,0,420,6,0,0,0,182,3,0,0,0,
62,433,6,52,2,0,426,6,388,0,0,184,2,0,0,0,
63,440,7,28,2,4,433,7,286,16,18,187,3,0,0,0,
64,446,6,332,2,6,439,6,87,8,3,190,3,0,0,0,
65,452,6,1,0,0,445,6,852,3,63,192,2,0,0,0,
66,459,7,272,9,29,451,6,1564,43,31,195,3,0,0,0,
67,465,6,2031,47,51,458,7,20,0,0,198,3,0,0,0,
68,471,6,93,0,0,464,6,1195,4,15,200,2,0,0,0,
69,478,7,85,11,15,470,6,32,0,0,203,3,0,0,0,
70,485,7,97,2,7,476,6,60,0,0,206,3,0,0,0,
71,492,7,2305,0,0,482,6,51,0,2,208,2,0,0,0,
72,499,7,4513,14,30,489,7,297,0,0,211,3,0,0,0,
73,505,6,1111,0,0,495,6,255,9,6,214,3,0,0,0,
74,512,7,3000,36,31,501,6,31,0,0,216,2,0,0,0,
75,518,6,3818,23,34,508,7,1260,4,5,219,3,0,0,0,
76,525,7,4552,24,22,514,6,379,4,5,222,3,0,0,0,
77,532,7,4847,25,21,521,7,1148,0,0,224,2,0,0,0,
78,538,6,5269,19,19,527,6,1093,0,19,227,3,0,0,0,
79,545,7,5452,21,17,533,6,32,0,2,230,3,0,0,0,
80,551,6,5832,19,12,539,6,0,0,0,232,2,0,0,0,
81,558,7,0,0,0,545,6,51,0,2,235,3,0,0,0,
82,564,6,16,4,4,551,6,301,9,12,238,3,0,0,0,
83,570,6,41,4,4,558,7,92,0,0,240,2,0,0,0,
84,577,7,31,4,6,564,6,1381,5,39,243,3,0,0,0,
85,583,6,478,1,0,570,6,1254,14,9,245,2,0,0,0,
86,589,6,774,12,7,577,7,554,1,8,248,3,0,0,0,
87,596,7,754,0,5,583,6,619,0,5,251,3,0,0,0,
88,602,6,3770,7,13,589,6,32,0,0,253,2,0,0,0,
89,608,6,52,0,0,595,6,0,0,0,256,3,0,0,0,
90,614,6,0,0,0,601,6,0,0,0,259,3,0,0,0,
91,621,7,1,0,0,607,6,46,2,8,261,2,0,0,0,
92,627,6,25,0,0,614,7,89,0,6,264,3,0,0,0,
93,633,6,1150,0,0,620,6,3587,9,31,267,3,0,0,0,
94,639,6,86,3,0,626,6,1662,11,26,269,2,0,0,0,
95,646,7,33,7,9,633,7,248,0,1,272,3,0,0,0,
96,653,7,1336,11,33,639,6,829,0,0,275,3,0,0,0,
97,659,6,743,0,0,645,6,0,0,0,277,2,0,0,0,
98,666,7,26,0,0,651,6,60,0,0,280,3,0,0,0,
99,672,6,7,1,3,657,6,51,0,3,283,3,0,0,0,
100,679,7,3401,32,25,664,7,423,0,0,285,2,0,0,0,
101,686,7,5288,9,2,670,6,357,8,4,288,3,0,0,0,
102,692,6,5132,7,12,677,7,0,0,0,291,3,0,0,0,
103,699,7,5320,3,2,683,6,4957,7,28,293,2,0,0,0,
104,705,6,5060,5,12,690,7,2241,47,45,296,3,0,0,0,
105,712,7,5065,6,5,696,6,4505,5,9,299,3,0,0,0,
106,719,7,5326,9,10,702,6,2165,8,12,303,4,0,0,0,
107,726,7,5037,9,12,709,7,4497,10,10,305,2,0,0,0,
108,732,6,5775,6,7,715,6,35,0,0,308,3,0,0,0,
109,739,7,840,8,4,721,6,205,23,17,311,3,0,0,0,
110,745,6,1965,7,27,728,7,99,0,0,313,2,0,0,0,
111,753,8,0,0,0,734,6,3098,33,49,316,3,0,0,0,
112,756,3,0,0,0,741,7,4437,29,74,319,3,0,0,0,
113,759,3,0,0,0,748,7,4025,37,51,324,5,0,0,0,
114,761,2,0,0,0,754,6,3479,27,22,327,3,0,0,0,
115,764,3,0,0,0,761,7,4180,29,27,330,3,0,0,0,
116,767,3,0,0,0,767,6,4720,20,17,339,9,0,0,0,
117,769,2,0,0,0,774,7,4572,20,13,346,7,0,0,0,
118,772,3,0,0,0,780,6,4880,21,18,353,7,0,0,0,
119,775,3,0,0,0,787,7,5665,12,13,359,6,7,0,0,
120,777,2,0,0,0,793,6,4690,24,20,366,7,56,27,50,
121,780,3,0,0,0,800,7,3195,8,5,372,6,439,16,14,
122,783,3,0,0,0,806,6,17,3,2,378,6,0,0,0,
123,785,2,0,0,0,812,6,16,4,0,384,6,0,0,0,
124,788,3,0,0,0,818,6,41,0,0,391,7,0,0,0,
125,796,8,0,0,0,825,7,524,4,0,397,6,0,0,0,
126,800,4,0,0,0,831,6,757,6,0,403,6,0,0,0,
127,803,3,0,0,0,838,7,3497,27,24,409,6,0,0,0,
128,806,3,0,0,0,844,6,5247,22,24,415,6,0,0,0,
129,808,2,0,0,0,851,7,3091,16,11,421,6,0,0,0,
130,811,3,0,0,0,857,6,4538,15,15,427,6,0,0,0,
131,814,3,0,0,0,863,6,6514,6,9,433,6,0,0,0,
132,816,2,0,0,0,870,7,2262,25,51,439,6,0,0,0,
133,819,3,0,0,0,877,7,4395,15,18,445,6,0,0,0,
134,824,5,0,0,0,883,6,2002,10,1,451,6,0,0,0,
135,831,7,1413,0,36,889,6,3288,15,20,457,6,0,0,0,
136,837,6,3168,0,0,895,6,6275,11,15,463,6,0,0,0,
137,844,7,3201,0,0,902,7,1074,12,31,469,6,0,0,0,
138,850,6,3093,0,0,909,7,4241,26,20,475,6,0,0,0,
139,857,7,3173,0,0,915,6,6370,22,26,481,6,0,0,0,
140,863,6,3143,0,0,922,7,2532,2,25,487,6,0,0,0,
141,870,7,3261,0,0,928,6,3251,16,16,493,6,0,0,0,
142,876,6,3261,0,0,934,6,4047,7,17,499,6,0,0,0,
143,883,7,3120,0,0,940,6,52,0,9,505,6,0,0,0,
144,889,6,3108,0,0,946,6,0,0,0,511,6,0,0,0,
145,896,7,3200,0,0,953,7,0,0,0,517,6,0,0,0,
146,902,6,3153,0,0,959,6,134,10,8,530,13,0,0,0,
147,909,7,3168,0,0,965,6,78,5,8,536,6,0,0,0,
148,915,6,3134,0,0,972,7,2385,6,28,542,6,0,0,0,
149,921,6,3051,0,0,978,6,68,5,14,548,6,0,0,0,
150,928,7,3232,0,0,985,7,19,1,5,555,7,0,0,0,
151,934,6,3255,0,0,991,6,580,0,0,561,6,0,0,0,
152,941,7,3123,0,0,997,6,1150,0,3,567,6,0,0,0,
153,947,6,3256,0,0,1003,6,138,16,23,573,6,0,0,0,
154,954,7,3165,0,0,1011,8,1074,31,32,579,6,0,0,0,
155,960,6,3135,0,0,1017,6,1064,0,1,585,6,0,0,0,
156,967,7,3248,0,0,1024,7,36,17,3,592,7,0,0,0,
157,973,6,3177,0,0,1030,6,572,0,0,603,11,0,0,0,
158,980,7,3127,0,0,1036,6,0,0,0,609,6,0,0,0,
159,986,6,3231,0,0,1042,6,1016,9,23,615,6,2,0,0,
160,993,7,3231,0,0,1049,7,910,0,0,622,7,18,5,0,
161,999,6,3208,0,0,1055,6,2599,25,56,628,6,199,8,17,
162,1006,7,3198,0,0,1061,6,5042,7,12,648,20,320,4,22,
163,1012,6,3165,0,0,1068,7,5000,11,14,655,7,363,10,37,
164,1019,7,3204,0,0,1074,6,5002,10,13,661,6,695,16,24,
165,1025,6,3156,0,0,1081,7,5324,8,10,668,7,600,15,0,
166,1032,7,3258,0,0,1087,6,4744,8,11,674,6,744,18,22,
167,1038,6,3294,0,0,1094,7,5204,12,16,680,6,111,11,12,
168,1045,7,3246,0,0,1102,8,5263,8,14,687,7,671,25,23,
169,1051,6,3213,0,0,1108,6,5568,7,14,693,6,17,0,1,
170,1057,6,3147,0,0,1115,7,573,2,0,699,6,79,0,2,
171,1064,7,3150,0,0,1121,6,840,11,7,705,6,0,0,0,
172,1070,6,3328,0,0,1127,6,326,3,51,711,6,100,6,7,
173,1077,7,3228,0,0,1133,6,0,0,0,718,7,1460,38,48,
174,1083,6,3248,0,0,1139,6,0,0,0,724,6,20,0,0,
175,1090,7,3157,0,0,1146,7,2241,28,46,730,6,567,10,9,
176,1096,6,3159,0,0,1152,6,285,2,0,737,7,671,7,19,
177,1103,7,3276,0,0,1158,6,0,0,0,743,6,33,0,3,
178,1109,6,3243,0,0,1164,6,0,0,0,748,5,0,0,0,
179,1116,7,3285,0,0,1170,6,0,0,0,755,7,60,0,0,
180,1122,6,3270,0,0,1176,6,135,12,21,761,6,52,4,0,
181,1128,6,3248,0,0,1183,7,6251,3,2,767,6,325,2,4,
182,1135,7,3243,0,0,1189,6,1774,1,11,774,7,256,9,3,
183,1141,6,3174,0,0,1195,6,1055,1,23,780,6,44,2,0,
184,1148,7,3267,0,0,1201,6,1350,7,9,787,7,427,1,0,
185,1154,6,3170,0,0,1207,6,73,10,14,793,6,1682,29,45,
186,1161,7,3208,0,0,1214,7,1090,24,55,799,6,788,0,2,
187,1167,6,3189,0,0,1220,6,1103,48,63,806,7,122,1,1,
188,1173,6,3149,0,0,1227,7,360,4,8,812,6,167,3,9,
189,1180,7,3198,0,0,1233,6,2226,22,40,819,7,121,0,0,
190,1186,6,3216,0,0,1239,6,853,7,12,826,7,4370,10,33,
191,1193,7,3144,0,0,1246,7,1985,7,7,833,7,5317,16,63,
192,1199,6,3168,0,0,1252,6,2048,9,19,840,7,3863,25,30,
193,1206,7,3312,0,0,1259,7,1,0,0,846,6,4403,27,33,
194,1212,6,3214,0,0,1265,6,2488,21,52,853,7,4936,23,19,
195,1219,7,3237,0,0,1271,6,1874,13,29,859,6,6113,12,16,
196,1225,6,3201,0,0,1277,6,16,0,2,866,7,6219,11,15,
197,1232,7,3216,0,0,1284,7,1044,14,28,873,7,5817,17,21,
198,1238,6,3261,0,0,1290,6,0,0,0,879,6,2577,4,2,
199,1245,7,3189,0,0,1296,6,0,0,0,885,6,16,1,0,
200,1251,6,3117,0,0,1302,6,0,0,0,891,6,15,0,0,
201,1257,6,3111,0,0,1308,6,2041,40,45,898,7,1,0,0,
202,1264,7,3165,0,0,1314,6,5063,1,27,904,6,740,0,0,
203,1270,6,3216,0,0,1321,7,1212,10,28,911,7,1228,2,21,
204,1277,7,3101,0,0,1327,6,4259,14,13,917,6,2056,4,0,
205,1283,6,3249,0,0,1334,7,1682,14,22,923,6,0,0,0,
206,1290,7,3100,0,0,1340,6,2721,30,32,929,6,0,0,0,
207,1296,6,3276,0,0,1347,7,4132,1,2,935,6,175,9,35,
208,1303,7,3216,0,0,1353,6,5249,0,0,942,7,1156,1,13,
209,1309,6,3177,0,0,1360,7,4340,2,3,948,6,85,9,14,
210,1315,6,3255,0,0,1366,6,1654,14,13,955,7,54,2,0,
211,1322,7,3250,0,0,1373,7,5670,2,14,961,6,1075,11,8,
212,1328,6,3244,0,0,1379,6,9054,0,1,968,7,523,0,0,
213,1335,7,3188,0,0,1385,6,5587,4,8,974,6,740,0,0,
214,1341,6,3304,0,0,1394,9,0,0,0,980,6,1751,8,35,
215,1348,7,3144,0,0,1397,3,0,0,0,986,6,18,0,0,
216,1354,6,3183,0,0,1399,2,0,0,0,993,7,19,0,1,
217,1361,7,3141,0,0,1402,3,0,0,0,999,6,18,0,0,
218,1367,6,3189,0,0,1405,3,0,0,0,1006,7,18,0,0,
219,1373,6,3225,0,0,1407,2,0,0,0,1012,6,10,0,1,
220,1380,7,3243,0,0,1410,3,0,0,0,1019,7,27,0,0,
221,1386,6,3144,0,0,1413,3,0,0,0,1026,7,28,0,0,
222,1393,7,3237,0,0,1415,2,0,0,0,1032,6,28,0,0,
223,1399,6,3252,0,0,1418,3,0,0,0,1039,7,28,0,0,
224,1406,7,3201,0,0,1421,3,0,0,0,1046,7,19,0,0,
225,1412,6,3156,0,0,1423,2,0,0,0,1053,7,20,0,0,
226,1419,7,3254,0,0,1426,3,0,0,0,1059,6,19,0,0,
227,1425,6,3159,0,0,1429,3,0,0,0,1066,7,27,0,0,
228,1432,7,3204,0,0,1431,2,0,0,0,1073,7,19,0,0,
229,1438,6,3084,0,0,1434,3,0,0,0,1079,6,18,0,0,
230,1447,9,3176,0,0,1445,11,0,0,0,1085,6,18,0,0,
231,1454,7,3413,0,0,1447,2,0,0,0,1092,7,18,0,0,
232,1460,6,3100,0,0,1450,3,0,0,0,1098,6,18,0,0,
233,1467,7,3170,0,0,1453,3,0,0,0,1104,6,9,0,0,
234,1473,6,3163,0,0,1456,3,0,0,0,1110,6,19,0,0,
235,1480,7,3174,0,0,1458,2,0,0,0,1117,7,18,0,0,
236,1486,6,3138,0,0,1461,3,0,0,0,1123,6,18,0,0,
237,1492,6,3151,0,0,1464,3,0,0,0,1129,6,18,0,0,
238,1499,7,3258,0,0,1466,2,0,0,0,1136,7,9,0,0,
239,1505,6,3242,0,0,1475,9,0,0,0,1142,6,18,0,0,
240,1512,7,3129,0,0,1478,3,0,0,0,1148,6,18,0,0,
241,1518,6,3222,0,0,1481,3,0,0,0,1155,7,18,0,1,
242,1525,7,3147,0,0,1483,2,0,0,0,1161,6,18,0,0,
243,1531,6,3152,0,0,1486,3,0,0,0,1167,6,9,0,0,
244,1538,7,3221,0,0,1489,3,0,0,0,1173,6,18,0,1,
245,1544,6,3203,0,0,1491,2,0,0,0,1180,7,28,0,0,
246,1550,6,3228,0,0,1494,3,0,0,0,1187,7,27,0,0,
247,1557,7,3168,0,0,1502,8,0,0,0,1193,6,28,0,0,
248,1563,6,3210,0,0,1505,3,0,0,0,1200,7,19,0,0,
249,1570,7,3171,0,0,1508,3,0,0,0,1206,6,18,0,0,
250,1576,6,3232,0,0,1511,3,0,0,0,1212,6,18,0,0,
251,1583,7,3287,0,0,1513,2,0,0,0,1219,7,18,0,0,
252,1589,6,3159,0,0,1516,3,0,0,0,1226,7,28,0,1,
253,1596,7,3288,0,0,1519,3,0,0,0,1233,7,19,0,0,
254,1602,6,3143,0,0,1521,2,0,0,0,1239,6,19,0,0,
