sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA
243,161,46413,1117,1882
244,160,45782,1071,1581
245,161,47087,1123,1889
246,162,44522,1056,1566
247,160,48694,1168,1914
248,162,43311,1103,1613
249,161,48135,1138,1652
250,160,45272,1093,1858
251,161,46974,1095,1605
252,161,46197,1110,1875
253,160,45765,1070,1580
254,163,47378,1133,1899
255,161,45194,1062,1573
256,161,48220,1151,1917
257,161,44030,1076,1586
258,161,48059,1169,1720
259,161,44001,1092,1642
260,161,47387,1104,1614
261,160,45878,1106,1871
262,161,46220,1080,1590
263,161,47181,1134,1900
264,161,45429,1067,1577
265,161,47917,1146,1911
266,161,44624,1063,1573
267,161,48948,1169,1933
268,161,43582,1101,1611
269,164,47690,1134,1648
270,161,45659,1086,1820
271,161,47100,1097,1607
272,161,46031,1107,1873
273,161,46183,1082,1592
274,161,47709,1151,1916
275,161,46846,1106,1616
276,160,47748,1151,1916
277,161,46200,1087,1597
278,161,47753,1147,1913
279,161,45005,1057,1567
280,160,48451,1158,1923
281,162,43955,1081,1591
282,160,47751,1163,1677
283,161,44561,1085,1728
284,161,47168,1099,1609
285,161,46125,1111,1876
286,161,46213,1081,1591
287,160,47175,1131,1897
288,161,44985,1055,1565
289,161,48350,1156,1922
290,161,44087,1072,1582
291,161,47734,1169,1699
292,161,44258,1096,1663
293,161,47517,1107,1617
294,161,45426,1091,1857
295,161,46104,1078,1588
296,161,47167,1131,1896
297,161,45156,1061,1571
298,161,48129,1148,1913
299,161,43907,1078,1588
300,161,47776,1165,1679
301,161,44650,1095,1717
302,160,47338,1102,1612
303,161,45852,1103,1869
304,161,46119,1077,1587
305,160,47026,1126,1892
306,161,45010,1056,1566
307,161,48423,1159,1924
308,161,44326,1072,1583
309,161,48582,1169,1832
310,161,43240,1095,1605
311,161,47359,1102,1612
312,161,45839,1104,1870
313,160,46344,1083,1593
314,161,46895,1125,1890
315,161,45293,1063,1573
316,160,47965,1146,1912
317,162,44264,1068,1578
318,161,48331,1169,1806
319,161,43130,1085,1595
320,160,47134,1098,1608
321,161,46110,1110,1875
322,161,46100,1079,1589
323,161,47221,1132,1897
324,161,45194,1061,1571
325,160,48319,1157,1922
326,162,44336,1067,1577
327,161,48705,1169,1864
328,161,43299,1104,1614
329,161,47702,1121,1635
330,161,45482,1097,1865
331,161,46871,1095,1605
332,160,46463,1116,1882
333,161,45599,1068,1578
334,161,47580,1137,1903
335,161,44675,1052,1562
336,161,48753,1163,1928
337,161,43259,1098,1608
338,160,48072,1139,1653
339,161,45209,1092,1859
340,161,46971,1096,1606
341,161,46345,1115,1880
342,160,46033,1078,1588
343,161,47342,1135,1900
344,161,44255,1035,1545
345,161,48704,1162,1927
346,161,43694,1097,1608
347,161,47657,1140,1654
348,161,45050,1086,1852
349,160,46885,1094,1604
350,161,46400,1116,1881
351,161,45896,1075,1585
352,161,47300,1133,1899
353,160,44846,1055,1565
354,161,48663,1163,1928
355,161,43677,1087,1597
356,161,47445,1141,1655
357,161,44988,1083,1850
358,160,46993,1097,1607
359,161,46500,1119,1885
360,161,45651,1067,1577
361,160,47610,1141,1906
362,161,44439,1042,1553
363,161,48805,1166,1931
364,161,43569,1093,1603
365,161,47686,1141,1655
366,161,45266,1092,1857
367,160,47380,1107,1617
368,161,46004,1106,1871
369,161,45526,1062,1572
370,161,47383,1132,1898
371,161,44373,1050,1560
372,161,48853,1167,1931
373,161,43355,1102,1612
374,161,48033,1137,1651
375,161,45178,1089,1854
376,160,46797,1091,1601
377,161,46539,1120,1885
378,161,46946,1105,1615
379,160,47433,1145,1910
380,161,46581,1096,1606
381,163,48126,1166,1931
382,160,45856,1074,1584
383,161,47476,1137,1904
384,161,44636,1048,1558
385,160,48698,1163,1928
386,162,43570,1092,1604
387,161,47849,1146,1660
388,160,45092,1087,1852
389,161,47057,1098,1608
390,161,46238,1111,1876
391,161,45830,1072,1582
392,160,47490,1138,1904
393,161,44902,1055,1565
394,161,48027,1141,1909
395,161,43373,1101,1611
396,161,47716,1128,1642
397,160,45303,1091,1857
398,161,46683,1089,1599
399,161,46746,1125,1890
400,161,45808,1073,1583
401,160,47601,1141,1906
402,161,44802,1052,1564
403,161,48737,1165,1931
404,161,43712,1083,1593
405,161,47539,1148,1662
406,161,45130,1091,1857
407,160,47276,1103,1613
408,161,46057,1108,1873
409,161,45995,1075,1586
410,161,47283,1133,1899
411,160,44829,1052,1562
412,161,48450,1158,1923
413,161,44264,1079,1589
414,161,47722,1169,1695
415,161,44182,1092,1663
416,161,47184,1098,1608
417,160,46083,1110,1875
418,161,46228,1081,1591
419,161,46585,1111,1877
420,161,44678,1048,1558
421,160,48515,1158,1926
422,162,43582,1089,1599
423,160,47830,1148,1662
424,161,45065,1088,1853
425,162,47065,1097,1607
426,161,45988,1107,1872
427,161,46022,1075,1585
428,160,47325,1137,1902
429,161,45190,1060,1570
430,161,48161,1152,1917
431,161,44363,1068,1578
432,161,48546,1169,1844
433,161,43475,1106,1616
434,161,47824,1123,1637
435,161,45473,1097,1864
436,160,46877,1095,1605
437,161,46577,1121,1886
438,161,45462,1062,1572
439,160,47862,1148,1914
440,161,44642,1050,1560
441,161,48645,1161,1927
442,161,43584,1090,1600
443,160,47733,1144,1658
444,161,44828,1078,1844
445,161,46726,1090,1600
446,161,46618,1122,1887
447,160,45659,1068,1578
448,161,47599,1143,1909
449,161,44583,1047,1557
450,161,48909,1169,1934
451,161,43766,1087,1597
452,161,47787,1154,1668
453,160,44973,1087,1819
454,161,47066,1096,1606
455,161,46077,1108,1873
456,160,46137,1082,1592
457,161,47161,1130,1896
458,161,44951,1055,1566
459,161,48404,1157,1922
460,161,44039,1078,1588
461,161,47616,1164,1678
462,161,44646,1091,1724
463,160,47142,1097,1607
464,161,46048,1110,1876
465,161,46200,1080,1591
466,160,47051,1127,1892
467,161,45032,1056,1566
468,161,47847,1138,1904
469,161,43609,1091,1601
470,161,47757,1145,1659
471,161,45180,1092,1857
472,160,47378,1107,1618
473,161,46111,1111,1876
474,160,46185,1080,1590
475,161,47106,1129,1894
476,161,45243,1063,1573
477,162,48635,1169,1934
478,161,44658,1052,1563
479,161,48686,1160,1926
480,161,43153,1099,1609
481,161,48268,1139,1653
482,161,45618,1107,1872
483,160,48359,1133,1643
484,161,46134,1121,1886
485,161,48143,1127,1637
486,160,45529,1096,1861
487,161,46549,1088,1598
488,161,46614,1118,1883
489,161,45090,1056,1566
490,160,48095,1149,1915
491,162,44268,1071,1581
492,161,47670,1169,1714
493,160,43785,1082,1640
494,161,46935,1093,1603
495,161,46122,1107,1872
496,161,46115,1081,1591
497,160,47291,1132,1897
498,161,44935,1056,1566
499,161,48385,1154,1920
500,161,43680,1085,1596
501,161,47775,1152,1666
502,160,44782,1081,1846
503,161,46920,1094,1604
504,161,46397,1117,1883
505,161,46157,1081,1591
506,160,47191,1131,1896
507,161,44610,1046,1557
508,161,48582,1159,1924
509,161,43912,1092,1602
510,161,47767,1155,1669
511,161,44979,1086,1804
512,160,47277,1102,1612
513,161,45942,1105,1870
514,161,46097,1078,1589
515,161,47149,1129,1894
516,160,44992,1056,1566
517,161,48335,1156,1921
518,161,43561,1080,1590
519,161,47821,1155,1669
520,161,44831,1083,1814
521,161,47480,1109,1619
522,160,45934,1104,1869
523,161,46084,1077,1587
524,161,47263,1135,1900
525,161,45251,1062,1572
526,160,48081,1149,1914
527,162,44169,1071,1581
528,160,47799,1169,1718
529,161,44028,1093,1641
530,161,47632,1111,1621
531,161,45916,1107,1872
532,161,46536,1087,1597
533,161,46711,1120,1886
534,160,45341,1062,1572
535,161,47910,1146,1911
536,161,44388,1062,1572
537,161,48765,1169,1891
538,161,43248,1102,1612
539,161,47655,1118,1632
540,161,45556,1098,1863
541,160,46726,1091,1601
542,161,46391,1112,1879
543,161,44846,1047,1557
544,161,48324,1157,1922
545,161,44369,1067,1577
546,161,48312,1169,1819
547,161,43509,1103,1613
548,161,47335,1102,1616
549,161,45820,1104,1869
550,219,63100,1472,2239
551,162,48177,1156,1921
552,161,44573,1046,1556
553,161,48726,1162,1928
554,161,43481,1096,1606
555,161,47925,1142,1656
556,161,45124,1088,1854
557,161,46988,1096,1606
558,161,46331,1114,1879
559,161,45843,1073,1583
560,160,47326,1133,1898
561,162,44786,1052,1562
562,160,48574,1160,1925
563,162,43987,1087,1597
564,160,47605,1155,1669
565,161,44858,1083,1804
566,161,47113,1098,1608
567,161,46100,1108,1874
568,161,45668,1067,1577
569,161,47633,1142,1908
570,161,44840,1054,1564
571,161,48378,1154,1919
572,161,43704,1092,1602
573,161,47788,1149,1663
574,160,45130,1090,1856
575,161,47453,1108,1618
576,161,46034,1109,1874
577,161,46274,1082,1592
578,160,47015,1130,1895
579,161,44947,1055,1565
580,161,48241,1152,1917
581,162,44031,1076,1586
582,160,48107,1169,1726
583,162,44209,1102,1640
584,160,48047,1122,1636
585,161,45907,1113,1878
586,161,48207,1131,1641
587,160,46274,1123,1888
588,161,47764,1119,1629
589,161,45750,1099,1864
590,161,46022,1076,1586
591,160,47190,1131,1897
592,161,44315,1036,1546
593,161,48623,1160,1926
594,161,43756,1094,1604
595,161,47792,1148,1662
596,163,45151,1091,1857
597,161,47379,1103,1613
598,161,45803,1103,1869
599,161,46343,1084,1594
600,160,46990,1127,1893
601,161,44965,1053,1563
602,161,48379,1158,1924
603,161,44254,1070,1580
604,161,47328,1167,1681
605,161,44509,1093,1702
606,161,47508,1107,1618
607,160,45722,1099,1865
608,161,46058,1075,1585
609,161,47127,1131,1896
610,160,45068,1057,1567
611,161,48340,1157,1922
612,161,44164,1071,1581
613,161,47842,1169,1723
614,161,43944,1090,1641
615,161,47543,1109,1619
616,160,45844,1104,1869
617,162,45631,1062,1572
618,160,47339,1136,1901
619,161,44906,1054,1564
620,161,48428,1158,1923
621,161,44145,1077,1587
622,161,47867,1169,1706
623,161,44175,1095,1656
624,161,47476,1107,1617
625,161,45714,1100,1865
626,160,46228,1080,1590
627,161,46943,1125,1891
628,161,44931,1053,1563
629,161,48280,1155,1920
630,161,44194,1076,1586
631,161,47913,1169,1721
632,161,44125,1097,1646
633,160,47631,1110,1620
634,161,45613,1098,1864
635,161,46528,1088,1598
636,160,47015,1130,1896
637,161,45852,1076,1586
638,161,47719,1143,1909
639,161,44920,1057,1567
640,160,48405,1158,1923
641,161,43704,1092,1602
642,162,47322,1134,1648
643,160,45361,1096,1863
644,161,46819,1091,1601
645,161,46157,1107,1873
646,161,45882,1076,1586
647,161,47662,1143,1909
648,161,44691,1049,1559
649,161,48690,1164,1929
650,161,43948,1086,1596
651,161,47821,1161,1675
652,161,44794,1087,1748
653,160,47658,1113,1624
654,161,45864,1104,1869
655,161,46465,1086,1596
656,160,46794,1122,1887
657,161,45049,1055,1565
